x,y,z,target,amplitude,timestamp
23.6046293401,85.8895860743,72.9336144275,1,5.78184959008e-05,1560997268.2
23.7758320969,90.5373177952,67.5537087973,1,5.93746649144e-05,1560997273.38
26.0786964731,90.6874962602,66.3056998945,1,5.92849537286e-05,1560997275.99
51.1498770047,5.88210077869,54.5352268982,1,7.23313893419e-05,1560997281.17
26.8511149628,68.4388987686,87.120931063,1,7.4172744224e-05,1560997283.78
31.8682555608,71.6908250653,82.8414306007,1,9.36295815242e-05,1560997286.38
33.3127647779,72.5033253069,81.3356698121,1,9.77295369833e-05,1560997288.98
34.8627632824,72.0300460711,81.99541255,1,8.92264869562e-05,1560997291.58
33.1200451525,70.8446319996,83.1379603937,1,8.6727715521e-05,1560997294.19
37.2289888066,70.4017849641,82.8371803135,1,8.82415395113e-05,1560997296.8
34.5120612077,70.8176005259,82.5721631025,1,8.4215819651e-05,1560997299.41
36.9051196778,68.974972945,83.1178703837,1,8.53354745069e-05,1560997302.02
35.3777613672,69.6311572994,83.2830981095,1,9.21272539581e-05,1560997304.62
35.4474899543,69.9465931887,84.2263237999,1,8.92625762735e-05,1560997307.22
33.439892375,70.5116086146,83.3919076978,1,8.76159336308e-05,1560997309.83
34.8174125156,70.0951453743,83.1346865201,1,9.45712964596e-05,1560997312.44
34.0687984607,72.8266668922,81.5339597626,1,8.51821193332e-05,1560997315.04
34.1706619746,69.5804897524,84.7110645586,1,8.80649955722e-05,1560997317.65
33.9918873439,70.4463512383,83.0744484058,1,9.10610525747e-05,1560997320.26
35.5394305055,72.0959998704,81.6334873125,1,8.91780472756e-05,1560997322.87
33.2676773672,70.94914685,84.0258952965,1,9.13018656793e-05,1560997325.47
34.7121668661,71.0232710345,83.8004974761,1,8.89579472665e-05,1560997328.08
34.1440386984,70.6850496694,82.9658799982,1,8.85476428892e-05,1560997330.69
31.1454819937,71.9479800016,82.8915083127,1,8.72242887035e-05,1560997333.3
33.8252880783,70.7015755762,83.0990988908,1,8.22134777755e-05,1560997335.9
35.4797681824,71.9565697001,82.0897063813,1,8.35091908587e-05,1560997338.51
36.1013612357,73.4476284626,80.5748309391,1,8.54941128827e-05,1560997341.12
34.242005785,72.5993129721,81.6249917095,1,8.57455561173e-05,1560997343.73
37.4210564598,71.9314117406,81.4903059173,1,8.61913821626e-05,1560997346.34
35.0829240018,72.8165775761,80.807983954,1,8.39904388374e-05,1560997348.95
37.6825038709,71.4958828856,81.3426485564,1,8.27018600802e-05,1560997351.85
35.7567659501,72.6342236952,81.3726491877,1,8.60170669219e-05,1560997354.46
36.8875091669,71.8421940827,81.7022336145,1,8.56520556716e-05,1560997357.06
35.5029213641,72.1384896968,81.4050684131,1,8.90670396042e-05,1560997359.67
35.9219409296,72.3065528788,80.9850292905,1,8.36420893725e-05,1560997362.28
35.9759489852,71.4513302293,82.441032068,1,8.26202928088e-05,1560997364.89
34.8967655162,72.3575684718,81.040721844,1,8.37771859034e-05,1560997367.5
36.786739402,71.7377300514,81.4347054383,1,8.16029716093e-05,1560997370.11
36.3252269058,72.2515999545,80.3973777419,1,8.73191041054e-05,1560997372.72
37.2578498287,72.2744955863,80.154924497,1,8.28979341695e-05,1560997375.36
37.2048631392,71.9605260354,81.0209831813,1,8.62080844914e-05,1560997378.0
36.1362374226,73.9020897932,79.9078322352,1,8.13223249225e-05,1560997380.67
37.6383647995,71.8518734573,81.4049705196,1,8.19961912094e-05,1560997383.34
38.4227512029,72.1865875944,80.8245056366,1,8.33822657159e-05,1560997386.05
35.1515946983,73.8652162525,80.2127244813,1,8.42525156808e-05,1560997388.73
36.4181990983,72.6093006569,81.0549770385,1,8.12340204445e-05,1560997391.43
36.9955212569,72.4985148914,80.4197204617,1,7.81559341381e-05,1560997394.12
36.9211232117,73.1418294947,80.3667449085,1,8.17881740767e-05,1560997396.82
35.7529434538,73.3942412161,80.7148182837,1,8.80442304784e-05,1560997399.51
35.8881640961,72.7431538197,80.9567996425,1,7.70401188271e-05,1560997402.21
38.4344665342,73.6039150411,78.3806546017,1,8.01681685103e-05,1560997404.9
38.5344305674,73.9625732717,78.5538712206,1,8.12822802289e-05,1560997407.6
38.1685020816,72.3959654456,80.0833012995,1,7.55683439834e-05,1560997410.29
35.8694238468,72.9564803576,79.7472385983,1,7.95055512627e-05,1560997412.99
35.4449317773,73.5945592582,80.1807282736,1,8.40665239387e-05,1560997415.68
36.9992801982,73.1513655539,79.4207568121,1,7.5930816603e-05,1560997418.38
37.6532223711,73.6095848042,79.0601849879,1,8.03163605962e-05,1560997421.07
35.6902542406,73.9481244087,79.6708199391,1,8.35548102683e-05,1560997423.77
37.7400334228,72.314837494,80.9165650634,1,7.56502657277e-05,1560997426.46
36.5622081545,71.1288985768,81.4652815953,1,7.6038052822e-05,1560997429.16
36.1347361522,73.9367786416,79.4167248467,1,7.93015585261e-05,1560997431.84
35.6282530393,72.9395091897,80.550454874,1,7.80069808866e-05,1560997434.55
37.0421056033,73.4585421546,79.2694174119,1,7.28552047691e-05,1560997437.24
38.1190490697,72.5463626143,79.902157687,1,8.18063456624e-05,1560997439.94
38.6925006691,74.2856976409,77.6215370288,1,8.17250807347e-05,1560997442.63
39.306226646,73.2673162252,78.2360968867,1,7.33078761149e-05,1560997445.33
35.6801315662,73.0875055185,80.105743486,1,8.0167235522e-05,1560997448.02
34.7972747525,74.0125512651,79.7102902455,1,7.81334892607e-05,1560997450.71
37.7687420457,71.9128816379,80.7671012832,1,7.99520089679e-05,1560997453.39
35.3198591951,73.8058047963,79.9424043007,1,7.40739293017e-05,1560997456.1
38.812627563,73.7500006275,77.653044588,1,7.62095608378e-05,1560997458.78
